"range","plot","row","accession"
1,101,1,"Ogle Southern Pea"
1,102,2,"Knucklehull-VNR"
1,103,3,"Mississippi Purplehull Pea"
1,104,4,"Big Red Ripper"
1,105,5,"Colossus 80"
1,106,6,"Dixie Lee Pea"
1,107,7,"Texas Big Boy Pea"
1,108,8,"Cowpea Phenomenal"
1,109,9,"Kiawah Pinkeye Purple Hull"
1,110,10,"Top Pick Pinkeye Pea"
1,111,11,"Coronet Pinkeye Purplehull"
1,112,12,"Green Dixie Blackeye"
1,113,13,"White Acre Pea"
1,114,14,"Zipper Cream"
1,115,15,"Hercules"
2,201,1,"Knucklehull-VNR"
2,202,2,"Green Dixie Blackeye"
2,203,3,"Hercules"
2,204,4,"Kiawah Pinkeye Purple Hull"
2,205,5,"White Acre Pea"
2,206,6,"Mississippi Purplehull Pea"
2,207,7,"Ogle Southern Pea"
2,208,8,"Zipper Cream"
2,209,9,"Colossus 80"
2,210,10,"Top Pick Pinkeye Pea"
2,211,11,"Coronet Pinkeye Purplehull"
2,212,12,"Dixie Lee Pea"
2,213,13,"Big Red Ripper"
2,214,14,"Cowpea Phenomenal"
2,215,15,"Texas Big Boy Pea"
3,301,1,"Coronet Pinkeye Purplehull"
3,302,2,"Green Dixie Blackeye"
3,303,3,"Top Pick Pinkeye Pea"
3,304,4,"Texas Big Boy Pea"
3,305,5,"Big Red Ripper"
3,306,6,"White Acre Pea"
3,307,7,"Hercules"
3,308,8,"Ogle Southern Pea"
3,309,9,"Colossus 80"
3,310,10,"Knucklehull-VNR"
3,311,11,"Cowpea Phenomenal"
3,312,12,"Zipper Cream"
3,313,13,"Dixie Lee Pea"
3,314,14,"Kiawah Pinkeye Purple Hull"
3,315,15,"Mississippi Purplehull Pea"
4,401,1,"Dixie Lee Pea"
4,402,2,"Hercules"
4,403,3,"Colossus 80"
4,404,4,"Texas Big Boy Pea"
4,405,5,"Zipper Cream"
4,406,6,"White Acre Pea"
4,407,7,"Coronet Pinkeye Purplehull"
4,408,8,"Mississippi Purplehull Pea"
4,409,9,"Knucklehull-VNR"
4,410,10,"Green Dixie Blackeye"
4,411,11,"Kiawah Pinkeye Purple Hull"
4,412,12,"Top Pick Pinkeye Pea"
4,413,13,"Ogle Southern Pea"
4,414,14,"Cowpea Phenomenal"
4,415,15,"Big Red Ripper"
